EmployeeID,Age,Gender,City,Department,Experience,Salary
1,42.0,Male,Pune,HR,3,33278.0
2,26.0,Female,Mumbai,IT,3,118696.0
3,23.0,Male,Bengaluru,HR,0,42280.0
4,39.0,Male,Mumbai,Sales,6,115181.0
5,36.0,Female,Hyderabad,HR,18,66463.0
6,32.0,Male,Bengaluru,Finance,8,50379.0
7,24.0,Female,Pune,Finance,12,42676.0
8,23.0,Male,Hyderabad,Sales,14,100284.0
9,39.0,Male,Mumbai,Finance,9,112397.0
10,,Male,Bengaluru,Finance,2,36006.0
11,29.0,Female,Pune,Sales,3,79823.0
12,27.0,Male,Bengaluru,Finance,11,
13,41.0,Male,Mumbai,HR,20,52431.0
14,36.0,Female,Mumbai,HR,12,65382.0
15,23.0,Female,,Sales,7,34207.0
16,24.0,Female,Pune,HR,6,104341.0
17,34.0,Male,Bengaluru,Finance,20,90142.0
18,29.0,Female,Pune,Marketing,17,100644.0
19,40.0,Female,Bengaluru,HR,12,77447.0
20,,Female,Bengaluru,HR,1,44371.0
21,41.0,Female,Chennai,Marketing,2,80432.0
22,38.0,Female,Hyderabad,IT,8,102512.0
23,42.0,Male,Pune,Sales,10,44621.0
24,36.0,Male,Mumbai,HR,0,
25,42.0,Male,Mumbai,Marketing,9,113748.0
26,26.0,Male,Mumbai,Marketing,11,51174.0
27,41.0,Female,Hyderabad,IT,10,94042.0
28,31.0,Male,Bengaluru,Marketing,7,37592.0
29,24.0,Male,Mumbai,HR,15,39071.0
30,,Female,,Finance,15,102063.0
31,28.0,Female,Pune,Sales,17,56365.0
32,36.0,Male,Hyderabad,HR,16,89177.0
33,24.0,Male,Mumbai,Marketing,10,32757.0
34,40.0,Male,Hyderabad,IT,7,30942.0
35,24.0,Male,Hyderabad,Marketing,1,73309.0
36,30.0,Female,Mumbai,HR,15,
37,29.0,Male,Bengaluru,IT,15,83354.0
38,43.0,Female,Chennai,Sales,13,76438.0
39,45.0,Female,Hyderabad,IT,1,118259.0
40,,Male,Bengaluru,HR,10,44322.0
41,39.0,Female,Chennai,HR,14,48373.0
42,36.0,Male,Chennai,Marketing,7,39880.0
43,23.0,Male,Hyderabad,IT,20,100855.0
44,27.0,Female,Chennai,HR,13,93653.0
45,23.0,Female,,Sales,5,79672.0
46,36.0,Male,Mumbai,Sales,9,85444.0
47,28.0,Male,Hyderabad,Marketing,9,58534.0
48,45.0,Female,Hyderabad,Marketing,10,
49,38.0,Male,Hyderabad,Marketing,16,50635.0
50,,Female,Hyderabad,HR,2,107992.0
51,25.0,Male,Mumbai,Marketing,18,62271.0
52,41.0,Female,Mumbai,Marketing,2,84948.0
53,30.0,Female,Pune,HR,6,117782.0
54,34.0,Female,Pune,Sales,4,118039.0
55,24.0,Male,Mumbai,Marketing,0,90068.0
56,24.0,Male,Mumbai,Finance,17,57938.0
57,33.0,Male,Pune,Finance,2,62018.0
58,36.0,Male,Mumbai,Marketing,17,69651.0
59,43.0,Female,Hyderabad,HR,17,69240.0
60,,Female,,Finance,3,
61,41.0,Female,Bengaluru,Finance,6,74942.0
62,30.0,Male,Chennai,Finance,1,42097.0
63,22.0,Female,Pune,HR,10,47146.0
64,39.0,Male,Hyderabad,IT,13,103519.0
65,44.0,Male,Hyderabad,Finance,4,101511.0
66,35.0,Male,Pune,Finance,4,35482.0
67,33.0,Female,Bengaluru,IT,6,119399.0
68,39.0,Male,Bengaluru,HR,13,111351.0
69,27.0,Female,Bengaluru,Finance,13,33248.0
70,,Female,Bengaluru,IT,7,64970.0
71,23.0,Female,Bengaluru,Sales,15,59154.0
72,31.0,Female,Hyderabad,HR,7,
73,32.0,Female,Pune,Finance,8,39099.0
74,43.0,Female,Hyderabad,IT,17,73404.0
75,27.0,Female,,IT,18,64795.0
76,33.0,Male,Mumbai,Marketing,10,87199.0
77,34.0,Female,Pune,IT,18,54914.0
78,22.0,Female,Bengaluru,Finance,16,100575.0
79,24.0,Female,Pune,IT,10,111678.0
80,,Female,Chennai,Finance,9,117410.0
81,44.0,Female,Bengaluru,HR,9,102667.0
82,43.0,Female,Bengaluru,Marketing,12,118777.0
83,34.0,Male,Pune,Finance,17,30053.0
84,35.0,Female,Pune,Sales,18,
85,36.0,Male,Chennai,HR,6,97000.0
86,31.0,Male,Mumbai,Finance,16,117012.0
87,29.0,Male,Bengaluru,HR,9,59444.0
88,23.0,Female,Mumbai,IT,7,92277.0
89,35.0,Female,Bengaluru,Sales,20,105454.0
90,,Female,,IT,7,49342.0
91,29.0,Male,Chennai,IT,5,97889.0
92,25.0,Female,Chennai,Marketing,14,47477.0
93,36.0,Female,Chennai,Marketing,19,96162.0
94,27.0,Female,Pune,HR,15,88991.0
95,38.0,Female,Bengaluru,Finance,15,112149.0
96,24.0,Female,Pune,Finance,9,
97,39.0,Female,Bengaluru,HR,2,48136.0
98,44.0,Female,Hyderabad,Sales,4,58043.0
99,32.0,Male,Chennai,IT,17,91069.0
100,,Female,Hyderabad,Marketing,12,106556.0
